id,name,date,month,sex,party,topcategory,link
tcoea,Trump Council of Economic Advisers,,,,,,
ab,American Businesses,,,,,,
pol,Policymakers,,,,,,
amf,American Families,,,,,,
p9,post9,30_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115984113252953391
cw,Christopher Waller,,,2,3,,
rr,Rick Rieder,,,2,3,,
p10,post10,30_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115984101924920653
kh,Kevin Hassett,,,2,2,,
wh,White House,,,,,,
p11,post12,30_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115983891481988557
kw,Kevin Warsh,,,2,2,,
frs,Federal Reserve System,,,,,,
hoi,Hoover Institution,,,,,,
sgsob,Stanford Graduate School of Business,,,,,,
su,Stanford University,,,,,,
hls,Harvard Law School,,,,,,
dfollc,Duquesne Family Office LLC,,,,,,
boe,Bank of England,,,,,,
potuk,Parliament of the United Kingdom,,,,,,
got,Group of Twenty,,,,,,
whnec,White House National Economic Council,,,,,,
msco,Morgan Stanley & Co,,,,,,
p12,post13,30_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115982747344520072
tx,Texas,,,,,,
p13,post14,30_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115982625271651077
iceoff,ICE Offficer,,,,,,
alpr,Alex Pretti,,,2,3,,
p14,post15,30_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115980983698005555
can,Canada,,,,,,
gulf,Gulfstream,,,,,,
boglex,Bombardier Global Expresses,,,,,,
usa,United States of America,,,,,,
p15,post16,30_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115980912926614287
cong,Congress,,,,,,
cogu,Coast Guard,,,,,,
p16,post17,29_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115979311914390909
cs,Claudia Sheinbaum,,,1,3,,
mex,Mexico,,,,,,
p17,post17,29_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115978487020569325
jp,Jerome Powell,,,2,2,,
fedr,Federal Reserve,,,,,,
p18,post18,28_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115976028716143583
cmcd,Colin McDonald,,,2,3,,
doj,Department of Justice,,,,,,
nfed,National Fraud Enforcement Division,,,,,,
ap,American People,,,,,,
cal,California,,,,,,
p19,post19,28_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115973230205233959
sp500,S and P 500,,,,,,
p20,post20,28_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115972940749866695
jacfre,Jacob Frey,,,2,1,,
fedil,Federal Immigration Laws,,,,,,
mipo,Minneapolis,,,,,,
p21,post21,28_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115972714460477814
bibe,Bill Belichick,,,2,3,,
pfhof,Pro Football Hall of Fame,,,,,,
p22,post22,28_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115972658725010644
abli,Abraham Lincoln,,,,,,
p23,post23,27_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115970244299178641
commofpen,Commonwealth of Pennsylvania,,,,,,
staga,Stacy Garrity,,,1,2,,
p24,post24,27_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115970033433071326
toti,Tom Tiffany,,,2,2,,
wis,Wisconsin,,,,,,
p25,post25,27_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115970009433933657
mial,Michael Alfonso,,,2,2,,
sedu,Sean Duffy,,,2,2,,
racadu,Rachel Campos Duffy,,,1,2,,
fn,Fox News,,,,,,
w7cd,Wisconsin 7th Congressional District,,,,,,
p26,post26,27_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115969989606605553
jeel,Jeff Ellington,,,2,2,,
erbas,Eric Bassler,,,2,2,,
robr,Rod Bray,,,2,2,,
krri,Kristi Risk,,,1,2,,
ushor,United States House of Represemtatives,,,,,,
pat,Patriots,,,,,,
ind,Indiana,,,,,,
i39sd,Indiana's 39th Senate District,,,,,,
p27,post27,27_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115969971098103360
brwi,Brenda Wilson,,,1,2,,
grgo,Greg Goode,,,2,2,,
haje,Hakeem Jeffries,,,2,1,,
p28,post28,27_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115969963682592720
paco,Paula Copenhaver,,,1,2,,
spde,Spencer Deery,,,1,2,,
p29,post29,27_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115969943597305015
jomi,Joe Mitchell,,,2,2,,
iw,Iowa,,,,,,
usdofaud,US Department of Housing and Urban Development,,,,,,
p30,post30,27_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115968824541011312
irq,Iraq,,,,,,
nalm,Nouri al-Maliki,,,2,3,,
p31,post31,26_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115964309300790101
trpo,Tracy Powell,,,1,2,,
jibu,Jim Buck,,,2,2,,
p32,post 32,26_01_26,,,,,https://truthsocial.com/@realDonaldTrump/posts/115963713974102712
p33,post 33,26_01_26,,,,,https://truthsocial.com/@realDonaldTrump/posts/115963679718287297
p34,post 34,26_01_26,,,,,https://truthsocial.com/@realDonaldTrump/posts/115963633972056786
sk,South Korea,,,,,,
kole,Korean Legislature,,,,,,
lee,Lee Jae Myung,,,2,3,,
p35,post 35,26_01_26,,,,,https://truthsocial.com/@realDonaldTrump/posts/115963259137242895
mida,Michelle Davis,,,1,2,,
grwa,Greg Walker,,,2,2,,
p36,post 36,26_01_26,,,,,https://truthsocial.com/@realDonaldTrump/posts/115963236796090298
isr,Israel,,,,,,
vene,Venezuela,,,,,,
p37,post 37,26_01_26,,,,,https://truthsocial.com/@realDonaldTrump/posts/115962860545833203
tkc,Trump Kennedy Center,,,,,,
p38,post 38,26_01_26,,,,,https://truthsocial.com/@realDonaldTrump/posts/115962472454059914
p39,post 39,26_01_26,,,,,https://truthsocial.com/@realDonaldTrump/posts/115962378381121858
tenn,Tennessee,,,,,,
p40,post40,26_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115961945286485523
p41,post41,26_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115961944680232406
p42,post42,25_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115958967310904799
nfl,NFL,,,,,,
geo,Georgia,,,,,,
p43,post43,25_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115958124569932540
fedg,federal government,,,,,,
p44,post44,25_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115958123338296139
p45,post45,25_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115957091814780053
p46,post46,25_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115957060813577755
p47,post47,25_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115956946816324221
p48,post48,25_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115956876838938120
jaco,Jamie Comer,,,2,2,,
maba,Maria Bartiromo,,,1,3,,
p49,post49,25_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115956692372915783
usss,United States Secret Service,,,,,,
nthp,National Trust for Historic Preservation,,,,,,
p50,post50,25_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115954417247642839
jofah,Jonathon Fahey,,,,,,
p51,post51,24_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115952253411267214
fema,Federal Emergency Management Agency,,,,,,
nocarl,North Carolina,,,,,,
mary,Maryland,,,,,,
arka,Arkansas,,,,,,
miss,Mississippi,,,,,,
p52,post52,24_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115951852007320342
p53,post53,24_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115951663504789746
p54,post54,24_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115951636521315703
p55,post55,24_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115951100180444245
souk,soldiers of the United Kingdom,,,,,,
afghan,Afghanistan,,,,,,
ukm,UK Military,,,,,,
p56,post56,24_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115951048952031044
chn,China,,,,,,
p57,post57,24_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115950708684387583
soca,South Carolina,,,,,,
va,Virginia,,,,,,
p58,post58,24_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115950424403894234
p59,post59,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115947083395862222
ilha,Ilham Aliyev,,,2,3,,
nika,Nikol Pashinyan,,,2,3,,
jdv,JD Vance,,,2,2,,
aze,Azerbaijan,,,,,,
arm,Armenia,,,,,,
p60,post60,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115947045496805234
trad,Trump Administration,,,,,,
p61,post61,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115947007592537749
mij,Mike Johnson,,,2,2,,
loui,Louisiana,,,,,,
p62,post62,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115947007423200004
stsc,Steve Scalise,,,2,2,,
p63,post63,23_01_26,jan26,2,2,,https://truthsocial.com/@realDonaldTrump/posts/115947007268912496
toem,Tom Emmer,,,,,,
p64,post64,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115947006428092415
mifi,Michelle Fischbach,,,1,2,,
p65,post65,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946969970832896
gm,general motors,,,,,,
busuv,buick envision suv,,,,,,
p66,post66,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946969213492152
uk,United Kingdom,,,,,,
p67,post67,24_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946953654029014
ut,Utah,,,,,,
magasup,MAGA Supporters,,,,,,
judg,judgs,,,,,,
ufrg,Utah Foundation for Repealing Proposition 4,,,,,,
leac,Leftwing Activists,,,,,,
p68,post68,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946890601825166
p69,post69,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946888788026892
p70,post70,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946884254924862
p71,post71,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946882998616328
jasm,Jason Smith,,,2,2,,
mo,Missouri,,,,,,
hwc,House Ways & Means Committee,,,,,,
p72,post72,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946881557161946
mifl,Mike Flood,,,2,2,,
ne,Nebraska,,,,,,
p73,post73,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946879417276798
nila,Nick Langworthy,,,2,2,,
ny,New York,,,,,,
nyrsc,New York Republican State Committee,,,,,,
p74,post74,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946877623841494
frhi,French Hill,,,2,2,,
ar,Arkansas,,,,,,
hfsc,House Financial Services Committee,,,,,,
p75,post75,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946875572351977
brgu,Brett Guthrie,,,2,2,,
ky,Kentucky,,,,,,
hecc,House Energy and Commerce Committee,,,,,,
p76,post76,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946872610760164
brja,Brian Jack,,,2,2,,
whpd,White House Political Director,,,,,,
p77,post77,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946871034219313
jaob,Jay Obernolte,,,2,2,,
p78,post78,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946869365270481
rimc,Rich McCormick,,,2,2,,
p79,post79,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946867281669769
auss,Austin Scott,,,2,2,,
hac,House Agriculture Committee,,,,,,
p80,post80,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946865805351323
rial,Rick Allen,,,2,2,,
p81,post81,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946864062168710
jiba,Jim Baird,,,2,2,,
p82,post82,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946862484550959
visp,Victoria Spartz,,,1,2,,
p83,post83,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946860655104763
jesh,Jefferson Shreve,,,2,2,,
p84,post84,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946858485453938
erho,Erin Houchin,,,1,2,,
p85,post85,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946856565328563
clhi,Clay Higgins,,,2,2,,
p86,post86,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946854162846684
tomc,Tom McClintock,,,2,2,,
hbc,House Budget Committee,,,,,,
p87,post87,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946814032888163
dais,Darrell Issa,,,2,2,,
p88,post88,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946646049401300
anlu,Anna Paulina Luna,,,1,2,,
fl,Florida,,,,,,
p89,post89,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946357948042788
chki,Charlie Kirk,,,1,2,,
bookck,"Book Charlie Kirk: Stop, in the Name of God",,,,,,
p90,post90,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115946254061477406
gd,Golden Dome,,,,,,
p91,post91,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115945837215795716
p92,post92,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115945477247439138
chsc,Chuck Schumer,,,2,1,,
gp,Gateway Project,,,,,,
p93,post93,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115944376084632033
envins,Environmental Insurrectionists,,,,,,
p94,post94,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115944336667645170
davos,Davos,,,,,,
p95,post95,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115943221462098784
tikt,TikTok,,,,,,
xi,Xi Jinping,,,,,,
p96,post96,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115943221220395905
pmca,Prime Minister Carney,,,2,3,,
bop,Board of Peace,,,,,,
p97,post97,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115943220906993463
sb,Southern Border,,,,,,
bp,Border Patrol,,,,,,
p98,post98,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115943220561708200
sf,San Francisco,,,,,,
la,Los Angeles,,,,,,
pnw,Pacific Northwest,,,,,,
p99,post99,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115943220222528458
p100,post100,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115943219966182884
totu,Tommy Tuberville,,,2,2,,
al,Alabama,,,,,,
ussen,U.S. Senate,,,,,,
p101,post101,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115942147803684675
p102,post102,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115941901312153410
im,Immigrants,,,,,,
p103,post103,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115941811687438015
p104,post104,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115941794659998195
p105,post105,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115941745683532182
p106,post106,23_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115941601213450831
jowa,John Wahl,,,2,2,,
trho,Travis Holdman,,,2,2,,
bluf,Bluffton,,,,,,
p108,post108,22_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115941252213747451
p109,post109,22_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115941130299210878
p110,post110,22_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115941096615143011
p111,post111,22_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115940718914667214
jsm,Jack Smith,,,2,3,,
p112,post112,22_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115940444095244586
mia,Miami,,,,,,
maru,Marco Rubio,,,2,2,,
fifa,FIFA World Cup 2026,,,,,,
laoly,Los Angeles Summer Olympics 2028,,,,,,
g20,G20,,,,,,
g7,G7,,,,,,
woex,World Expo 2035,,,,,,
p113,post113,22_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115940231479630134
p114,post114,22_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115939889414201547
p115,post115,22_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115939860152214301
nyt,New York Times,,,,,,
abc,ABC News,,,,,,
nbc,NBC News,,,,,,
cbs,CBS News,,,,,,
cnn,CNN,,,,,,
msnbc,MSNBC,,,,,,
wsj,Wall Street Journal,,,,,,
p116,post116,22_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115939823471731565
p117,post117,22_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115939791935000343
ts,Times Siena Poll,,,,,,
p118,post118,21_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115935584105062053
fcc,Federal Communications Commission,,,,,,
tv,The View,,,,,,
jkl,Jimmy Kimmel Live!,,,,,,
lat,Los Angeles Times,,,,,,
p119,post119,21_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/1159347343355792788
mr,Mark Rutte,,,2,1,,
arctic,Arctic Region,,,,,,
sw,Steve Witkoff,,,2,2,,
p120,post120,21_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/1159337378158006477
fbi,FBI,,,,,,
sedhun,Sedition Hunters,,,,,,
p121,post121,21_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115930710693248379
am,America,,,,,,
p122,post122,21_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115930705131305934
kapa,Katie Pavlich,,,1,2,,
nena,NewsNation,,,,,,
p123,post123,20_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115928442608514733
p124,post124,20_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115928428222216680
p125,post125,20_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115928321836846571
p126,post126,20_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115926047595803521
dgo,Island of Diego Garcia,,,,,,
mus,Mauritius,,,,,,
dnk,Denmark,,,,,,
p127,post127,20_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115926042315145030
p128,post128,20_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115925766187001811
swis,switzerland,,,,,,
p129,post129,20_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115924279332406120
p130,post130,19_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115924277763800167
p131,post131,19_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115924046475418008
p132,post132,19_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115924043199702065
rs,Rodney Scott,,,2,2,,
wc,Will Cain,,,2,3,,
wcs,The Will Cain Show,,,,,,
p133,post133,19_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115924025571521310
mp,Minnesota politicans,,,,,,
p134,post134,19_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115923918404792612
mico,Michael Cohen,,,2,1,,
p135,post135,19_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115922086257363944
som,Somali fraud scandal,,,,,,
p136,post136,19_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115919827634401559
nyse,New York Stock Exchange,,,,,,
dal,Dallas,,,,,,
zoma,Zohran Mamdani,,,2,3,,
p137,post137,19_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115919803174585205
p138,post138,18_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115919697262007872
soma,Somalia,,,,,,
p139,post139,18_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115919466737908324
pesc,Peter Schweizer,,,2,3,,
p140,post140,18_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115919296178368951
p141,post141,18_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115919038563850124
dabo,David Bossie,,,2,2,,
p142,post142,18_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115916047821747370
p143,post143,18_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115915958962150760
tisc,Tim Scott,,,2,2,,
latr,Lara Trump,,,1,2,,
p144,post144,18_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115915952093312324
p145,post145,18_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115915881410679214
jifa,Jimmy Failla,,,2,3,,
p146,post146,18_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115915851439933172
nor,Norway,,,,,,
swe,Sweden,,,,,,
fra,France,,,,,,
ger,Germany,,,,,,
nld,Netherlands,,,,,,
fin,Finland,,,,,,
p147,post147,18_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115913968629100828
damc,David McIntosh,,,2,2,,
p148,post148,18_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115913818366988479
jlet,Julia Letlow,,,1,2,,
p149,post149,17_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115913809230823901
bmoo,Barry Moore,,,2,2,,
p150,post150,17_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115913629513015604
army,United States Army,,,,,,
navy,United States Navy,,,,,,
p151,post151,17_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115912250523181458
p152,post152,17_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115911344443637897
p153,post153,17_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115911321115123547
jadi,Jamie Dimon,,,2,2,,
jpm,JP Morgan,,,2,,,
p154,post154,17_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115908316744576000
p155,post155,17_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115908065089401787
nyc,New York Courts,,,,,,
p156,post156,17_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115906000981082082
p157,post157,16_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115905757161594483
p158,post158,16_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115905755470362973
